shapeid,y,x
129,-71.4557934978,42.487432889
129,-71.4533747955,42.4847443999
129,-71.4503630488,42.4803787129
130,-71.4469616179,42.4759937085
130,-71.4482368075,42.4776524456
131,-71.4265503688,42.471351246
131,-71.4309232327,42.4717596152
132,-70.8788400636,41.7389504775
132,-70.8794070059,41.738676264
133,-70.8982741743,41.7428769997
133,-70.9015278839,41.749124723
134,-71.4391520674,42.4726789068
134,-71.4406026966,42.473083913
135,-70.8824698698,41.7381273369
135,-70.8865007704,41.738510398
135,-70.8901799371,41.7379848715
136,-70.9045796072,41.7559655337
136,-70.9047409071,41.7585681827
137,-70.9029818713,42.8445820729
137,-70.9026752115,42.8450358812
137,-70.9024114916,42.845444716
137,-70.9021042617,42.8459576203
137,-70.9005173679,42.8488798998
138,-70.9341593467,42.8560439434
138,-70.9339487774,42.8558880764
139,-70.9365548956,42.8399126033
139,-70.9373455999,42.8397516541
139,-70.9400588713,42.8392108593
139,-70.9429478907,42.8386443765
140,-70.9294428978,42.8602634953
140,-70.9294282956,42.8607972923
141,-70.9294282956,42.8607972923
141,-70.9294203558,42.8610814752
142,-70.9331362905,42.8546505271
142,-70.9326432088,42.8550160574
143,-70.9209851417,42.8459802275
143,-70.9273041037,42.8425815595
143,-70.9317300972,42.8409858527
144,-70.9207206522,42.8461287031
144,-70.9209851417,42.8459802275
145,-70.9026112443,42.8547362571
145,-70.9114979473,42.8512861086
145,-70.9139811875,42.849970761
145,-70.917875915,42.8477447319
145,-70.9184269362,42.8474207339
145,-70.9193819075,42.8468899669
145,-70.9207206522,42.8461287031
146,-70.9006033104,42.8494258224
146,-70.9026151206,42.8457223123
146,-70.9028996432,42.8452803725
146,-70.9032351763,42.8447710917
146,-70.9034842201,42.8444143191
147,-70.9033957219,42.8452759766
147,-70.9035888385,42.8453360657
148,-70.9627648558,42.8419111085
148,-70.9619543916,42.8426086189
149,-70.9401723536,42.8430945097
149,-70.9395331402,42.8433794745
150,-70.9009029773,42.8446130615
150,-70.9015770962,42.8447625433
150,-70.9021332866,42.8449152991
150,-70.9025429765,42.8450317205
150,-70.9033957219,42.8452759766
151,-70.934464804,42.8462213286
151,-70.9335789341,42.8466957663
152,-70.9363536646,42.8452092101
152,-70.9360919586,42.8453477927
153,-70.9360919586,42.8453477927
153,-70.9356309043,42.8455921138
154,-70.9356309043,42.8455921138
154,-70.9352905421,42.8457758339
155,-70.9535214862,42.8427621347
155,-70.9495039097,42.842159711
156,-70.9581692481,42.8434658392
156,-70.9558605904,42.8433119057
157,-70.913564292,42.8464859476
157,-70.9128960593,42.8464675538
158,-70.9128960593,42.8464675538
158,-70.9109863198,42.8464122006
159,-70.9148001156,42.846521482
159,-70.913564292,42.8464859476
160,-70.9294203558,42.8610814752
160,-70.9293937548,42.8617153308
161,-70.9334867854,42.8550589015
161,-70.9333210814,42.8548702813
162,-70.9373043814,42.8446716706
162,-70.9366216964,42.8450627298
163,-70.9370675191,42.8454201606
163,-70.9369578685,42.8456489187
164,-70.9373043814,42.8446716706
164,-70.9370675191,42.8454201606
165,-70.95511437,42.84309484
165,-70.9535214862,42.8427621347
166,-70.9558605904,42.8433119057
166,-70.95511437,42.84309484
167,-70.9005173679,42.8488798998
167,-70.9004469519,42.8490122664
168,-70.933772813,42.8554643468
168,-70.9334867854,42.8550589015
169,-70.9292550996,42.8640314397
169,-70.9291188341,42.8657905851
170,-70.9368109873,42.8405499501
170,-70.936846817,42.8406845879
171,-70.9429478907,42.8386443765
171,-70.9579192923,42.8356955914
171,-70.964231771,42.8349045478
171,-70.9747593733,42.834320291
172,-70.930640752,42.8576472728
172,-70.9300848661,42.8579734885
173,-70.9745821231,42.833949004
173,-70.9646697677,42.8344998528
173,-70.9578754569,42.8353168966
173,-70.9370629029,42.8394173788
174,-70.9300209292,42.8411133156
174,-70.9221308307,42.8448494537
175,-70.9221308307,42.8448494537
175,-70.9207201065,42.8456801886
175,-70.9193522829,42.8464659273
175,-70.9172767615,42.8476548165
175,-70.9167969113,42.8479444071
175,-70.9135387291,42.8497947145
175,-70.9080241364,42.8524190554
175,-70.9024866955,42.8544068885
176,-70.9296350074,42.8591105443
176,-70.9294882023,42.8595705951
177,-70.9326432088,42.8550160574
177,-70.9319804425,42.8554780838
178,-70.9319804425,42.8554780838
178,-70.9315352997,42.8559529866
179,-70.9374141308,42.8514065786
179,-70.9373395989,42.8517240843
180,-70.9291188341,42.8657905851
180,-70.9290576104,42.8664879078
181,-70.9290576104,42.8664879078
181,-70.928983496,42.8673415715
182,-70.928983496,42.8673415715
182,-70.9287925864,42.8695347718
183,-70.9395331402,42.8433794745
183,-70.9390421574,42.8436285632
184,-70.9390421574,42.8436285632
184,-70.9382660962,42.8440085204
185,-70.9307155309,42.857565888
185,-70.930640752,42.8576472728
186,-70.9308672566,42.8572476372
186,-70.9307155309,42.857565888
187,-70.932731504,42.8567671538
187,-70.9327653616,42.8567563222
188,-70.93224948,42.8569165863
188,-70.932731504,42.8567671538
189,-70.9308672566,42.8572476372
189,-70.93224948,42.8569165863
190,-70.9195442957,42.8466588985
190,-70.9188866532,42.8466416202
190,-70.9177717764,42.8466123963
190,-70.9161105841,42.8465608828
191,-70.9408021901,42.8429602753
191,-70.9401723536,42.8430945097
192,-70.9358580068,42.8373800171
192,-70.9359369529,42.8376335761
193,-70.9331869067,42.8468923811
193,-70.9325802444,42.8471265757
194,-70.9325802444,42.8471265757
194,-70.9322111901,42.8472376306
195,-70.9335789341,42.8466957663
195,-70.9331869067,42.8468923811
196,-70.9083684311,42.8383203545
196,-70.9048275594,42.8422416149
197,-70.911644955,42.8344646865
197,-70.9104117176,42.835926723
198,-70.9091357067,42.8376435457
198,-70.9117642685,42.8345208932
199,-70.9373395989,42.8517240843
