"shapeid","x","y"
"0.1","-70.253477","41.308641"
"0.1","-70.2490399753","41.3070680187"
"0.1","-70.246552","41.306186"
"0.1","-70.24281","41.303384"
"0.1","-70.2421139155","41.3010947181"
"0.1","-70.242069","41.300947"
"0.1","-70.241875","41.299801"
"0.1","-70.2408536675","41.2982928701"
"0.1","-70.240249","41.2974"
"0.1","-70.239816","41.295823"
"0.1","-70.2407110617","41.2952148619"
"0.1","-70.241095","41.294954"
"0.1","-70.242495","41.294222"
"0.1","-70.243287","41.293124"
"0.1","-70.2432711713","41.2930634728"
"0.1","-70.242617","41.290562"
"0.1","-70.242739","41.28919"
"0.1","-70.244322","41.288138"
"0.1","-70.24767","41.288641"
"0.1","-70.2487159922","41.2895841324"
"0.1","-70.2491540943","41.2899791527"
"0.1","-70.2503177898","41.2910284138"
"0.1","-70.252541","41.293033"
"0.1","-70.255951","41.294954"
"0.1","-70.259665","41.296006"
"0.1","-70.261553","41.297653"
"0.1","-70.2641282448","41.2991541019"
"0.1","-70.268616","41.30177"
"0.1","-70.273121","41.305521"
"0.1","-70.276653","41.308631"
"0.1","-70.277262","41.310506"
"0.1","-70.276653","41.311283"
"0.2","-70.30897","41.336057"
"0.2","-70.3087496417","41.3364707442"
"0.2","-70.308104","41.337683"
"0.2","-70.304319","41.33842"
"0.2","-70.297204","41.337681"
"0.2","-70.292027","41.337788"
"0.2","-70.289719","41.336323"
"0.2","-70.289325","41.335022"
"0.2","-70.29086","41.333663"
"0.2","-70.29649","41.333426"
"0.2","-70.2989393887","41.3330892751"
"0.2","-70.302513","41.332598"
"0.2","-70.307001","41.332391"
"0.2","-70.309245","41.334579"
"0.2","-70.30897","41.336057"
"0.3","-70.580285","42.636025"
"0.3","-70.575088","42.63978"
"0.3","-70.573377","42.639507"
"0.3","-70.573509","42.636376"
"0.3","-70.575648","42.634452"
"0.3","-70.57871","42.634548"
"0.3","-70.580285","42.636025"
"0.4","-70.5920440191","42.6295126857"
"0.4","-70.588245","42.630605"
"0.4","-70.586819","42.628157"
"0.4","-70.5873742779","42.6273619222"
"0.4","-70.588037","42.626413"
"0.4","-70.591607","42.627503"
"0.4","-70.592189","42.629471"
"0.4","-70.5920440191","42.6295126857"
"0.5","-70.593832","42.660787"
"0.5","-70.591082","42.661658"
"0.5","-70.587992","42.663003"
"0.5","-70.586344","42.662249"
"0.5","-70.588904","42.660279"
"0.5","-70.589602729","42.6590478099"
"0.5","-70.589942","42.65845"
"0.5","-70.593048","42.659096"
"0.5","-70.593832","42.660787"
"0.6","-70.723148","42.568157"
"0.6","-70.721223","42.569933"
"0.6","-70.72064","42.569659"
"0.6","-70.720476","42.568882"
"0.6","-70.720532","42.568406"
"0.6","-70.721151","42.567764"
"0.6","-70.721038","42.567164"
"0.6","-70.720898","42.56673"
"0.6","-70.721207","42.566481"
"0.6","-70.721516","42.566351"
"0.6","-70.721656","42.566088"
"0.6","-70.722921","42.566502"
"0.6","-70.723736","42.567019"
"0.6","-70.723148","42.568157"
"0.7","-70.783055","42.553461"
"0.7","-70.782057","42.553896"
"0.7","-70.781182","42.554218"
"0.7","-70.780749","42.554138"
"0.7","-70.780441","42.553868"
"0.7","-70.780812","42.553576"
"0.7","-70.780891","42.553161"
"0.7","-70.781089","42.55272"
"0.7","-70.781131","42.552429"
"0.7","-70.781472","42.552098"
"0.7","-70.78208","42.551679"
"0.7","-70.782777","42.552051"
"0.7","-70.783364","42.552421"
"0.7","-70.783055","42.553461"
"0.8","-70.788783","42.534006"
"0.8","-70.78866","42.535775"
"0.8","-70.788239","42.536836"
"0.8","-70.787031","42.537295"
"0.8","-70.78559","42.536978"
"0.8","-70.784528","42.536355"
"0.8","-70.783006","42.535481"
"0.8","-70.782649","42.534605"
"0.8","-70.782252","42.533716"
"0.8","-70.783036","42.533261"
"0.8","-70.783537","42.53285"
"0.8","-70.784275","42.532494"
"0.8","-70.78491","42.532544"
"0.8","-70.785309","42.531956"
"0.8","-70.785617","42.531206"
"0.8","-70.786491","42.530827"
"0.8","-70.787223","42.530896"
"0.8","-70.787707199","42.5305795236"
"0.8","-70.787708","42.530579"
"0.8","-70.788669","42.530915"
"0.8","-70.789403","42.531931"
"0.8","-70.788783","42.534006"
"0.9","-70.802225","42.550473"
"0.9","-70.802943","42.55158"
"0.9","-70.802611","42.55207"
"0.9","-70.801586","42.551826"
"0.9","-70.800675","42.551239"
"0.9","-70.799765","42.551394"
"0.9","-70.798964","42.551058"
"0.9","-70.798552","42.55013"
"0.9","-70.798204","42.549762"
"0.9","-70.79733","42.54965"
"0.9","-70.796848","42.550473"
"0.9","-70.796224","42.551301"
"0.9","-70.79503","42.550678"
"0.9","-70.795309","42.549799"
"0.9","-70.795808","42.549339"
"0.9","-70.795434","42.548757"
"0.9","-70.794364","42.548866"
"0.9","-70.793356","42.548359"
"0.9","-70.793272","42.547444"
"0.9","-70.793812","42.547501"
"0.9","-70.794852","42.547593"
