shapeid,y,x
57,-71.09182,42.372562
57,-71.092336,42.371692
57,-71.092386,42.3716003
57,-71.0929137,42.3706325
57,-71.0930545,42.3703913
57,-71.0931126,42.3702915
57,-71.0932343,42.3700784
57,-71.093395,42.37
58,-71.0819996,42.3663837
58,-71.0818527,42.3666419
58,-71.0816488,42.3670003
58,-71.0816315,42.3670307
58,-71.081537,42.3671881
58,-71.0815147,42.367225
58,-71.081448,42.3673225
58,-71.0813754,42.3674128
58,-71.0812772,42.3675158
58,-71.0812098,42.3675835
58,-71.0811024,42.3676763
58,-71.0810261,42.3677373
58,-71.080756,42.3680221
58,-71.0805599,42.3682948
58,-71.0805332,42.3683335
58,-71.0805114,42.3683804
58,-71.080298,42.3689544
58,-71.0801488,42.3696341
58,-71.0800076,42.3702353
58,-71.0800043,42.3703152
58,-71.079995,42.3704046
58,-71.0798505,42.3710152
59,-71.0958413,42.3578832
59,-71.0955418,42.3579771
60,-71.0803943,42.3610378
60,-71.080455,42.3611394
61,-71.0858302,42.3634275
61,-71.0859612,42.3632575
62,-71.0859612,42.3632575
62,-71.0857241,42.3631464
62,-71.0858098,42.3628865
63,-71.0816214,42.3611375
63,-71.0815001,42.3611759
63,-71.0812936,42.3612374
63,-71.080395,42.3614752
63,-71.0803163,42.3616441
63,-71.0804226,42.361774
64,-71.0858302,42.3634275
64,-71.0857453,42.3636191
65,-71.0798382,42.3613805
65,-71.0797942,42.3613583
65,-71.0797647,42.3613266
65,-71.0797299,42.361279
65,-71.0797093,42.3612351
65,-71.0798023,42.3612176
65,-71.0799149,42.3611918
65,-71.0800222,42.3611621
65,-71.0801268,42.3611284
65,-71.080218,42.3610986
65,-71.0803943,42.3610378
65,-71.0806257,42.3609579
65,-71.0807679,42.3609877
65,-71.0808054,42.3610035
65,-71.0808385,42.3610266
66,-71.0994427,42.358579
66,-71.0995345,42.3584692
66,-71.0994164,42.3583463
66,-71.0993097,42.3583795
66,-71.0989631,42.3581321
67,-71.0860501,42.3662063
67,-71.0858928,42.3669076
67,-71.085727,42.367583
67,-71.0857201,42.3676242
67,-71.085698,42.367756
67,-71.085659,42.367946
67,-71.0856062,42.368162
67,-71.0855851,42.3682483
68,-71.0881584,42.3626232
68,-71.0883758,42.3626364
68,-71.0888452,42.3626678
68,-71.088904,42.3626738
68,-71.088954,42.3626815
68,-71.0890489,42.3626973
68,-71.0891006,42.3627042
68,-71.0891604,42.3627096
68,-71.0892147,42.3627132
